county,stname,ctyname,variable,value,year.label
047,Maryland,Worcester County,popestimate2013,51550,2013
510,Maryland,Baltimore city,popestimate2013,622497,2013
000,Maryland,Maryland,popestimate2014,5958165,2014
001,Maryland,Allegany County,popestimate2014,73007,2014
003,Maryland,Anne Arundel County,popestimate2014,559691,2014
005,Maryland,Baltimore County,popestimate2014,825006,2014
009,Maryland,Calvert County,popestimate2014,90545,2014
011,Maryland,Caroline County,popestimate2014,32535,2014
013,Maryland,Carroll County,popestimate2014,167317,2014
015,Maryland,Cecil County,popestimate2014,102201,2014
017,Maryland,Charles County,popestimate2014,154373,2014
019,Maryland,Dorchester County,popestimate2014,32495,2014
021,Maryland,Frederick County,popestimate2014,243417,2014
023,Maryland,Garrett County,popestimate2014,29649,2014
025,Maryland,Harford County,popestimate2014,249330,2014
027,Maryland,Howard County,popestimate2014,306998,2014
029,Maryland,Kent County,popestimate2014,19771,2014
031,Maryland,Montgomery County,popestimate2014,1025617,2014
033,Maryland,Prince George's County,popestimate2014,899223,2014
035,Maryland,Queen Anne's County,popestimate2014,48793,2014
037,Maryland,St. Mary's County,popestimate2014,109926,2014
039,Maryland,Somerset County,popestimate2014,25577,2014
041,Maryland,Talbot County,popestimate2014,37529,2014
043,Maryland,Washington County,popestimate2014,149060,2014
045,Maryland,Wicomico County,popestimate2014,101368,2014
047,Maryland,Worcester County,popestimate2014,51572,2014
510,Maryland,Baltimore city,popestimate2014,623165,2014
000,Maryland,Maryland,popestimate2015,5986717,2015
001,Maryland,Allegany County,popestimate2015,72462,2015
003,Maryland,Anne Arundel County,popestimate2015,563502,2015
005,Maryland,Baltimore County,popestimate2015,827471,2015
009,Maryland,Calvert County,popestimate2015,90468,2015
011,Maryland,Caroline County,popestimate2015,32591,2015
013,Maryland,Carroll County,popestimate2015,167133,2015
015,Maryland,Cecil County,popestimate2015,102418,2015
017,Maryland,Charles County,popestimate2015,155692,2015
019,Maryland,Dorchester County,popestimate2015,32404,2015
021,Maryland,Frederick County,popestimate2015,245114,2015
023,Maryland,Garrett County,popestimate2015,29435,2015
025,Maryland,Harford County,popestimate2015,249589,2015
027,Maryland,Howard County,popestimate2015,311449,2015
029,Maryland,Kent County,popestimate2015,19713,2015
031,Maryland,Montgomery County,popestimate2015,1033994,2015
033,Maryland,Prince George's County,popestimate2015,905737,2015
035,Maryland,Queen Anne's County,popestimate2015,48991,2015
037,Maryland,St. Mary's County,popestimate2015,110965,2015
039,Maryland,Somerset County,popestimate2015,25684,2015
041,Maryland,Talbot County,popestimate2015,37414,2015
043,Maryland,Washington County,popestimate2015,149116,2015
045,Maryland,Wicomico County,popestimate2015,101800,2015
047,Maryland,Worcester County,popestimate2015,51425,2015
510,Maryland,Baltimore city,popestimate2015,622150,2015
000,Maryland,Maryland,popestimate2016,6004692,2016
001,Maryland,Allegany County,popestimate2016,72055,2016
003,Maryland,Anne Arundel County,popestimate2016,567665,2016
005,Maryland,Baltimore County,popestimate2016,828616,2016
009,Maryland,Calvert County,popestimate2016,91028,2016
011,Maryland,Caroline County,popestimate2016,32836,2016
013,Maryland,Carroll County,popestimate2016,167110,2016
015,Maryland,Cecil County,popestimate2016,102567,2016
017,Maryland,Charles County,popestimate2016,157336,2016
019,Maryland,Dorchester County,popestimate2016,32261,2016
021,Maryland,Frederick County,popestimate2016,247224,2016
023,Maryland,Garrett County,popestimate2016,29371,2016
025,Maryland,Harford County,popestimate2016,250361,2016
027,Maryland,Howard County,popestimate2016,315619,2016
029,Maryland,Kent County,popestimate2016,19662,2016
031,Maryland,Montgomery County,popestimate2016,1040245,2016
033,Maryland,Prince George's County,popestimate2016,907939,2016
035,Maryland,Queen Anne's County,popestimate2016,49074,2016
037,Maryland,St. Mary's County,popestimate2016,111689,2016
039,Maryland,Somerset County,popestimate2016,25837,2016
041,Maryland,Talbot County,popestimate2016,37123,2016
043,Maryland,Washington County,popestimate2016,149665,2016
045,Maryland,Wicomico County,popestimate2016,102136,2016
047,Maryland,Worcester County,popestimate2016,51424,2016
