stname,ctyname,county,label,tot.pop,year.label
Maryland,Allegany County,001,popestimate2008,74638,2008
Maryland,Anne Arundel County,003,popestimate2008,525304,2008
Maryland,Baltimore County,005,popestimate2008,798651,2008
Maryland,Calvert County,009,popestimate2008,87788,2008
Maryland,Caroline County,011,popestimate2008,32983,2008
Maryland,Carroll County,013,popestimate2008,167433,2008
Maryland,Cecil County,015,popestimate2008,100232,2008
Maryland,Charles County,017,popestimate2008,143783,2008
Maryland,Dorchester County,019,popestimate2008,32466,2008
Maryland,Frederick County,021,popestimate2008,229286,2008
Maryland,Garrett County,023,popestimate2008,30222,2008
Maryland,Harford County,025,popestimate2008,242779,2008
Maryland,Howard County,027,popestimate2008,278405,2008
Maryland,Kent County,029,popestimate2008,20150,2008
Maryland,Montgomery County,031,popestimate2008,942748,2008
Maryland,Prince George's County,033,popestimate2008,850167,2008
Maryland,Queen Anne's County,035,popestimate2008,47063,2008
Maryland,St. Mary's County,037,popestimate2008,101921,2008
Maryland,Somerset County,039,popestimate2008,26474,2008
Maryland,Talbot County,041,popestimate2008,37307,2008
Maryland,Washington County,043,popestimate2008,146674,2008
Maryland,Wicomico County,045,popestimate2008,97111,2008
Maryland,Worcester County,047,popestimate2008,51196,2008
Maryland,Baltimore city,510,popestimate2008,620184,2008
Maryland,Maryland,000,popestimate2009,5730388,2009
Maryland,Allegany County,001,popestimate2009,75101,2009
Maryland,Anne Arundel County,003,popestimate2009,532395,2009
Maryland,Baltimore County,005,popestimate2009,801808,2009
Maryland,Calvert County,009,popestimate2009,88244,2009
Maryland,Caroline County,011,popestimate2009,33013,2009
Maryland,Carroll County,013,popestimate2009,167028,2009
Maryland,Cecil County,015,popestimate2009,100816,2009
Maryland,Charles County,017,popestimate2009,144804,2009
Maryland,Dorchester County,019,popestimate2009,32470,2009
Maryland,Frederick County,021,popestimate2009,230942,2009
Maryland,Garrett County,023,popestimate2009,30145,2009
Maryland,Harford County,025,popestimate2009,243685,2009
Maryland,Howard County,027,popestimate2009,283061,2009
Maryland,Kent County,029,popestimate2009,20132,2009
Maryland,Montgomery County,031,popestimate2009,959013,2009
Maryland,Prince George's County,033,popestimate2009,856161,2009
Maryland,Queen Anne's County,035,popestimate2009,47532,2009
Maryland,St. Mary's County,037,popestimate2009,103273,2009
Maryland,Somerset County,039,popestimate2009,26425,2009
Maryland,Talbot County,041,popestimate2009,37496,2009
Maryland,Washington County,043,popestimate2009,146953,2009
Maryland,Wicomico County,045,popestimate2009,98069,2009
Maryland,Worcester County,047,popestimate2009,51313,2009
Maryland,Baltimore city,510,popestimate2009,620509,2009
Maryland,Maryland,000,census2010pop,5773552,2010
Maryland,Allegany County,001,census2010pop,75087,2010
Maryland,Anne Arundel County,003,census2010pop,537656,2010
Maryland,Baltimore County,005,census2010pop,805029,2010
Maryland,Calvert County,009,census2010pop,88737,2010
Maryland,Caroline County,011,census2010pop,33066,2010
Maryland,Carroll County,013,census2010pop,167134,2010
Maryland,Cecil County,015,census2010pop,101108,2010
Maryland,Charles County,017,census2010pop,146551,2010
Maryland,Dorchester County,019,census2010pop,32618,2010
Maryland,Frederick County,021,census2010pop,233385,2010
Maryland,Garrett County,023,census2010pop,30097,2010
Maryland,Harford County,025,census2010pop,244826,2010
Maryland,Howard County,027,census2010pop,287085,2010
Maryland,Kent County,029,census2010pop,20197,2010
Maryland,Montgomery County,031,census2010pop,971777,2010
Maryland,Prince George's County,033,census2010pop,863420,2010
Maryland,Queen Anne's County,035,census2010pop,47798,2010
Maryland,St. Mary's County,037,census2010pop,105151,2010
Maryland,Somerset County,039,census2010pop,26470,2010
Maryland,Talbot County,041,census2010pop,37782,2010
Maryland,Washington County,043,census2010pop,147430,2010
Maryland,Wicomico County,045,census2010pop,98733,2010
Maryland,Worcester County,047,census2010pop,51454,2010
Maryland,Baltimore city,510,census2010pop,620961,2010
Maryland,Maryland,000,popestimate2010,5785982,2010
Maryland,Allegany County,001,popestimate2010,75021,2010
Maryland,Anne Arundel County,003,popestimate2010,539198,2010
Maryland,Baltimore County,005,popestimate2010,805709,2010
Maryland,Calvert County,009,popestimate2010,88936,2010
Maryland,Caroline County,011,popestimate2010,33093,2010
Maryland,Carroll County,013,popestimate2010,167241,2010
Maryland,Cecil County,015,popestimate2010,101199,2010
Maryland,Charles County,017,popestimate2010,147086,2010
Maryland,Dorchester County,019,popestimate2010,32650,2010
Maryland,Frederick County,021,popestimate2010,234122,2010
Maryland,Garrett County,023,popestimate2010,30063,2010
Maryland,Harford County,025,popestimate2010,245177,2010
Maryland,Howard County,027,popestimate2010,288376,2010
Maryland,Kent County,029,popestimate2010,20222,2010
Maryland,Montgomery County,031,popestimate2010,976203,2010
Maryland,Prince George's County,033,popestimate2010,865271,2010
Maryland,Queen Anne's County,035,popestimate2010,47899,2010
Maryland,St. Mary's County,037,popestimate2010,105786,2010
Maryland,Somerset County,039,popestimate2010,26481,2010
Maryland,Talbot County,041,popestimate2010,37834,2010
Maryland,Washington County,043,popestimate2010,147558,2010
Maryland,Wicomico County,045,popestimate2010,98843,2010
Maryland,Worcester County,047,popestimate2010,51431,2010
Maryland,Baltimore city,510,popestimate2010,620583,2010
